Country,Crop,Element,Production
Australia,currants,production,548.72
Australia,"edible offal of cattle, fresh, chilled or frozen",production,362567.38
Australia,"edible offal of goat, fresh, chilled or frozen",production,4395.62
Australia,"edible offal of pigs, fresh, chilled or frozen",production,39656.6
Australia,"edible offal of sheep, fresh, chilled or frozen",production,118685.44
Australia,"edible offals of horses and other equines, fresh, chilled or frozen",production,2331.49
Australia,eggplants (aubergines),production,9558.0
Australia,fat of pigs,production,20164.37
Australia,figs,production,69.19
Australia,"ginger, raw",production,5327.0
Australia,"goat fat, unrendered",production,4395.62
Australia,grapes,production,1613640.0
Australia,green corn (maize),production,79690.0
Australia,green garlic,production,3071.0
Australia,"groundnuts, excluding shelled",production,15114.4
Australia,"hazelnuts, in shell",production,1360.0
Australia,hempseed,production,3600.0
Australia,"hen eggs in shell, fresh",production,245291.2
Australia,"hen eggs in shell, fresh",production,4380200.0
Australia,hop cones,production,621.44
Australia,"horse meat, fresh or chilled",production,20816.84
Australia,kiwi fruit,production,4310.0
Australia,lemons and limes,production,83332.0
Australia,"lentils, dry",production,1265050.0
Australia,lettuce and chicory,production,162418.0
Australia,linseed,production,7000.0
Australia,lupins,production,778000.0
Australia,maize (corn),production,447027.0
Australia,"mangoes, guavas and mangosteens",production,63755.0
Australia,"meat of cattle with the bone, fresh or chilled",production,2589767.0
Australia,"meat of chickens, fresh or chilled",production,1477685.0
Australia,"meat of ducks, fresh or chilled",production,16242.91
Australia,"meat of goat, fresh or chilled",production,54422.0
Australia,"meat of pig with the bone, fresh or chilled",production,470502.0
Australia,"meat of sheep, fresh or chilled",production,927230.0
Australia,"meat of turkeys, fresh or chilled",production,20394.77
Australia,millet,production,36832.52
Australia,mushrooms and truffles,production,56941.0
Australia,mustard seed,production,
Australia,natural honey,production,10980.94
Australia,oats,production,1315000.0
Australia,olives,production,81809.0
Australia,"onions and shallots, dry (excluding dehydrated)",production,272396.0
Australia,oranges,production,560539.0
Australia,"other beans, green",production,32702.0
Australia,other berries and fruits of the genus vaccinium n.e.c.,production,13386.0
Australia,"other citrus fruit, n.e.c.",production,1071.27
Australia,"other fibre crops, raw, n.e.c.",production,
Australia,"other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",production,59247.0
Australia,"other tropical fruits, n.e.c.",production,7754.0
Australia,"other vegetables, fresh n.e.c.",production,203219.0
Australia,papayas,production,20576.0
Australia,peaches and nectarines,production,72813.0
Australia,pears,production,84761.0
Australia,"peas, dry",production,228000.0
Australia,"peas, green",production,19480.0
